"filename", "language", "PHP", "CSS", "HTML", "JavaScript", "SVG", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\trodi\pagina\video\Holas-prueba.php", "PHP", 60, 0, 0, 0, 0, 0, 7, 13, 80
"c:\xampp\htdocs\trodi\pagina\video\Machu-Picchu-Explicaci-n-historia-construcci-n-y-datos-curiosos.php", "PHP", 61, 0, 0, 0, 0, 0, 7, 17, 85
"c:\xampp\htdocs\trodi\pagina\video\Martin-Chambi-Cusco-fotograf-a-de-blanco-y-negro-a-color.php", "PHP", 61, 0, 0, 0, 0, 0, 7, 17, 85
"c:\xampp\htdocs\trodi\pagina\video\Piped-Redirects-Alternativa-a-YouTube.php", "PHP", 61, 0, 0, 0, 0, 0, 7, 17, 85
"c:\xampp\htdocs\trodi\pagina\video\SH-COVER-Solo-se-trata-de-prosperar.php", "PHP", 61, 0, 0, 0, 0, 0, 7, 17, 85
"c:\xampp\htdocs\trodi\pagina\video\SHÉ_(COVER)_Solo_se_trata_de_prosperar.php", "PHP", 60, 0, 0, 0, 0, 0, 7, 13, 80
"c:\xampp\htdocs\trodi\pagina\video\plantilla.php", "PHP", 86, 0, 0, 0, 0, 0, 7, 17, 110
"c:\xampp\htdocs\trodi\pagina\video\styles.css", "CSS", 0, 117, 0, 0, 0, 0, 4, 17, 138
"c:\xampp\htdocs\trodi\photo.php", "PHP", 109, 0, 0, 0, 0, 0, 5, 26, 140
"c:\xampp\htdocs\trodi\publication.php", "PHP", 87, 0, 0, 0, 0, 0, 1, 29, 117
"c:\xampp\htdocs\trodi\registro.php", "PHP", 103, 0, 0, 0, 0, 0, 8, 26, 137
"c:\xampp\htdocs\trodi\required\account.css", "CSS", 0, 123, 0, 0, 0, 0, 9, 32, 164
"c:\xampp\htdocs\trodi\required\account.js", "JavaScript", 0, 0, 0, 23, 0, 0, 8, 18, 49
"c:\xampp\htdocs\trodi\required\chatpage.css", "CSS", 0, 224, 0, 0, 0, 0, 29, 77, 330
"c:\xampp\htdocs\trodi\required\nueva_publicacion.css", "CSS", 0, 81, 0, 0, 0, 0, 1, 16, 98
